Provider_CCN,is_matched_hospital,Entity_Name,State,Individuals_Affected,Breach_Year,Main_Breach_Type,Main_Location,Business_Associate_Involved
,False,PRINCE WILLIAM COUNTY COMMUNITY SERVICES (CS),VA,669.0,2010,Theft,Other (Cloud/Portable Media),No
,False,UNITEDHEALTHCARE INSURANCE COMPANY,MN,1097.0,2010,Other/Unknown,Paper Records,Yes
,False,"IRON MOUNTAIN DATA PRODUCTS, INC. (NOW KNOWN AS",PA,800000.0,2010,Loss,Electronic Medical Record (EMR),Yes
330059,True,MONTEFIORE MEDICAL CENTER,NY,23753.0,2010,Theft,Physical Device (Workstation/Laptop),No
,False,"DC CHARTERED HEALTH PLAN, INC",DC,540.0,2010,Theft,Physical Device (Workstation/Laptop),No
,False,"MEDINA OB/GYN ASSOCIATES, INC",OH,1200.0,2010,Improper Disposal,Paper Records,Yes
,False,THE UNIVERSITY OF TEXAS AT ARLINGTON,TX,27000.0,2010,Hacking/IT Incident,Network Server,No
,False,AETNA,CT,6372.0,2010,Unauthorized Access/Disclosure,Paper Records,No
,False,CHARLES MITCHELL MD,TX,6873.0,2010,Theft,Physical Device (Workstation/Laptop),No
453304,True,TEXAS CHILDREN'S HOSPITAL,TX,694.0,2010,Theft,Physical Device (Workstation/Laptop),No
,False,BAYLOR COLLEGE OF MEDICINE,TX,1646.0,2010,Theft,Physical Device (Workstation/Laptop),No
,False,MATRIX IMAGING,NY,2631.0,2010,Theft,Paper Records,Yes
,False,CAROLINA CENTER FOR DEVELOPMENT AND REHABILITATION,NC,1590.0,2010,Theft,Paper Records,No
,False,MERCER,MI,1073.0,2010,Loss,Other (Cloud/Portable Media),Yes
,False,"WELLPOINT, INC.",IN,31700.0,2010,Hacking/IT Incident,Network Server,No
,False,WRIGHT STATE PHYSICIANS,OH,1309.0,2010,Other/Unknown,Physical Device (Workstation/Laptop),No
,False,PENN TREATY NETWORK AMERICA INSURANCE COMPANY,PA,560.0,2010,Other/Unknown,Other (Cloud/Portable Media),No
,False,FORT WORTH ALLERGY AND ASTHMA ASSOCIATES,TX,25000.0,2010,Theft,Network Server,No
,False,JEWISH HOSPITAL,KY,2089.0,2010,Theft,Physical Device (Workstation/Laptop),No
360084,True,AULTMAN HOSPITAL,OH,13867.0,2010,Theft,Physical Device (Workstation/Laptop),No
,False,"BEAUTY DENTAL, INC.",IL,657.0,2010,Theft,Paper Records,No
,False,MCKESSON PHARMACY SYSTEMS LLC,GA,11440.0,2010,Other/Unknown,Other (Cloud/Portable Media),Yes
,False,"THOMAS JEFFERSON UNIVERSITY HOSPITALS, INC.",PA,21000.0,2010,Theft,Physical Device (Workstation/Laptop),No
,False,UNCG SPEECH AND HEARING CENTER,NC,2300.0,2010,Hacking/IT Incident,Physical Device (Workstation/Laptop),No
,False,ST. JOHN'S MERCY MEDICAL GROUP,MO,1907.0,2010,Improper Disposal,Paper Records,No
,False,MERCER HEALTH & BENEFITS,ID,5500.0,2010,Loss,Other (Cloud/Portable Media),Yes
,False,LOMA LINDA UNIVERSITY SCHOOL OF DENTISTRY,CA,10100.0,2010,Theft,Physical Device (Workstation/Laptop),No
,False,"WARD A. MORRIS, DDS",WA,2698.0,2010,Theft,Physical Device (Workstation/Laptop),No
,False,"CHATTANOOGA FAMILY PRACTICE ASSOCIATES, P.C.",TN,1711.0,2010,Loss,Other (Cloud/Portable Media),No
,False,YALE UNIVERSITY,CT,1000.0,2010,Theft,Physical Device (Workstation/Laptop),No
,False,"EASTMORELAND SURGICAL CLINIC, WILLIAM GRAHAM, DO",OR,4328.0,2010,Theft,Physical Device (Workstation/Laptop),No
,False,COOK COUNTY HEALTH & HOSPITALS SYSTEM,IL,7081.0,2010,Theft,Physical Device (Workstation/Laptop),No
,False,PIONEER VALLEY PATHOLOGY,MA,24750.0,2010,Theft,Paper Records,Yes
,False,SUNBRIDGE HEALTHCARE CORPORATION,NM,1000.0,2010,Theft,Other (Cloud/Portable Media),No
,False,KPMG LLP,NY,3630.0,2010,Theft,Other (Cloud/Portable Media),Yes
,False,NYU SCHOOL OF MEDICINE--AGING AND DEMENTIA CLINICAL RESEARCH CENTER,NY,1200.0,2010,Loss,Other (Cloud/Portable Media),No
,False,AON CONSULTING,PA,22642.0,2010,Other/Unknown,Network Server,Yes
,False,UNIVERSITY OF ROCHESTER MEDICAL CENTER AND AFFILIATES,NY,857.0,2010,Loss,Other (Cloud/Portable Media),No
,False,"CURTIS R. BRYAN, M.D.",VA,2739.0,2010,Theft,Physical Device (Workstation/Laptop),No
,False,MAYO CLINIC,MN,1740.0,2010,Theft,Electronic Medical Record (EMR),No
,False,LABCORP PATIENT SERVICE CENTER,NV,507.0,2010,Theft,Paper Records,No
,False,THE KENT CENTER,RI,1361.0,2010,Theft,Paper Records,No
,False,"PEDIATRIC AND ADULT ALLERGY, PC",IA,19222.0,2010,Loss,Other (Cloud/Portable Media),No
,False,AULT CHIROPRACTIC CENTER,IN,2000.0,2010,Theft,Physical Device (Workstation/Laptop),No
,False,COUNTY OF LOS ANGELES,CA,33000.0,2010,Theft,Paper Records,No
,False,"MATTHEW H. CONRAD, M.D., P.A.",KS,1200.0,2010,Theft,Physical Device (Workstation/Laptop),No
,False,CARECORE NATIONAL,SC,1270.0,2010,Other/Unknown,Paper Records,Yes
,False,COUNSELING AND PSYCHOTHERAPY OF THROGGS NECK,NY,9000.0,2010,Theft,Physical Device (Workstation/Laptop),No
,False,ALASKAN AIDS ASSISTANCE ASSOCIATION,AK,2000.0,2010,Theft,Other (Cloud/Portable Media),Yes
