ccn,report_year,y_true,LogisticRegression_proba,LogisticRegression_pred,RandomForest_proba,RandomForest_pred,XGBoost_proba,XGBoost_pred,SV_proba,SVM_pred
334012,2021,0,0.372102,0,0.060726,0,0.007458,0,0.000145,0
334013,2021,0,0.154664,0,0.043163,0,0.008064,0,0.000119,0
334015,2021,0,0.180383,0,0.047225,0,0.008062,0,0.000105,0
334020,2021,0,0.120264,0,0.035316,0,0.006587,0,7.2e-05,0
334021,2021,0,0.515492,1,0.066326,0,0.012578,0,0.000171,0
334022,2021,0,0.288415,0,0.025603,0,0.015676,0,0.002031,0
334026,2021,1,0.165397,0,0.551238,1,0.503107,1,0.01036,0
334027,2021,0,0.322649,0,0.025507,0,0.019785,0,0.003321,0
334043,2021,0,0.223004,0,0.071519,0,0.016679,0,0.000158,0
334045,2021,0,0.383411,0,0.038911,0,0.008112,0,0.000197,0
334046,2021,0,0.177537,0,0.030691,0,0.00211,0,0.000155,0
334048,2021,0,0.001303,0,0.073516,0,0.054203,0,0.000442,0
334049,2021,0,0.232001,0,0.074367,0,0.010935,0,4.2e-05,0
334052,2021,0,0.181685,0,0.03589,0,0.009065,0,0.00013,0
334053,2021,0,0.102202,0,0.067264,0,0.014115,0,0.0001,0
334054,2021,0,0.129148,0,0.072159,0,0.017635,0,0.000198,0
334060,2021,0,0.007123,0,0.037373,0,0.004976,0,0.000317,0
334061,2021,0,0.003749,0,0.030072,0,0.003771,0,0.000152,0
334063,2021,0,0.164783,0,0.04642,0,0.014788,0,0.000162,0
340001,2021,0,0.40452,0,0.102186,0,0.055379,0,0.008958,0
340002,2021,0,0.810661,1,0.042457,0,0.011422,0,0.000224,0
340003,2021,0,0.74456,1,0.496871,0,0.501496,1,0.789655,1
340004,2021,0,0.696286,1,0.21908,0,0.061722,0,0.021234,0
340008,2021,0,0.534075,1,0.495394,0,0.620376,1,0.014465,0
340010,2021,0,0.347924,0,0.324222,0,0.132968,0,0.044237,1
340013,2021,0,0.512547,1,0.036831,0,0.061649,0,0.000487,0
340014,2021,0,0.311573,0,0.006873,0,0.003037,0,3.2e-05,0
340015,2021,0,0.426769,0,0.026019,0,0.008721,0,0.022367,0
340016,2021,0,0.750868,1,0.074956,0,0.037982,0,0.018627,0
340017,2021,0,0.753553,1,0.316635,0,0.085331,0,0.038605,1
340020,2021,0,0.737842,1,0.106856,0,0.030131,0,0.00052,0
340021,2021,0,0.578072,1,0.072833,0,0.052898,0,0.001975,0
340023,2021,0,0.580566,1,0.48156,0,0.278356,0,0.083912,1
340024,2021,0,0.556445,1,0.588158,1,0.594952,1,0.052838,1
340027,2021,1,0.544023,1,0.407131,0,0.604268,1,0.213295,1
340028,2021,0,0.777986,1,0.403774,0,0.229915,0,0.011739,0
340030,2021,0,0.786466,1,0.155428,0,0.058134,0,0.009388,0
340032,2021,0,0.420645,0,0.283673,0,0.146304,0,0.068298,1
340039,2021,0,0.487987,0,0.318963,0,0.598516,1,0.074945,1
340040,2021,0,0.707768,1,0.418577,0,0.188012,0,0.003683,0
340041,2021,0,0.593298,1,0.427944,0,0.73518,1,0.00183,0
340042,2021,0,0.75709,1,0.413486,0,0.117027,0,0.00165,0
340047,2021,0,0.835214,1,0.221341,0,0.094094,0,0.016348,0
340049,2021,0,0.564578,1,0.437203,0,0.208522,0,0.012796,0
340050,2021,0,0.496579,0,0.220967,0,0.055596,0,0.005854,0
340051,2021,0,0.71224,1,0.26432,0,0.114775,0,0.007774,0
340053,2021,0,0.169708,0,0.008384,0,0.016716,0,8e-06,0
340060,2021,0,0.314058,0,0.202276,0,0.040341,0,0.018787,0
340061,2021,1,0.915562,1,0.609637,1,0.910061,1,0.161946,1
340064,2021,0,0.789441,1,0.374824,0,0.247501,0,0.015937,0
340068,2021,1,0.869135,1,0.408178,0,0.797166,1,0.606213,1
340069,2021,0,0.534148,1,0.624662,1,0.848214,1,0.007502,0
340070,2021,0,0.48908,0,0.050934,0,0.055345,0,0.067536,1
340071,2021,0,0.318046,0,0.457181,0,0.797198,1,0.004365,0
340073,2021,0,0.061738,0,0.054474,0,0.004883,0,5.8e-05,0
340075,2021,0,0.544818,1,0.438426,0,0.532271,1,0.007715,0
340084,2021,0,0.421977,0,0.106636,0,0.03258,0,0.000435,0
340085,2021,0,0.377572,0,0.01169,0,0.004402,0,0.003686,0
340087,2021,0,0.523297,1,0.114092,0,0.027206,0,0.000101,0
340090,2021,0,0.70721,1,0.296114,0,0.226104,0,0.057309,1
340091,2021,0,0.624199,1,0.386986,0,0.277468,0,0.00202,0
340096,2021,0,0.611389,1,0.06493,0,0.009804,0,0.020697,0
340097,2021,0,0.406537,0,0.197037,0,0.081296,0,0.001825,0
340098,2021,0,0.297232,0,0.039116,0,0.009752,0,0.003181,0
340099,2021,0,0.506549,1,0.257814,0,0.178012,0,6.8e-05,0
340107,2021,0,0.578214,1,0.341605,0,0.108764,0,0.243356,1
340109,2021,0,0.526342,1,0.294878,0,0.085922,0,0.006382,0
340113,2021,0,0.830441,1,0.094913,0,0.033373,0,0.006097,0
340114,2021,0,0.717652,1,0.689776,1,0.60282,1,0.027681,0
340115,2021,0,0.73897,1,0.726344,1,0.319013,0,0.044244,1
340116,2021,0,0.41189,0,0.182584,0,0.218192,0,0.000225,0
340119,2021,0,0.180796,0,0.03339,0,0.028984,0,0.003456,0
340120,2021,0,0.533397,1,0.296815,0,0.152407,0,0.043624,1
340123,2021,0,0.413216,0,0.243142,0,0.071117,0,0.000777,0
340126,2021,0,0.562178,1,0.089411,0,0.026165,0,0.099801,1
340127,2021,0,0.755266,1,0.529483,1,0.426723,0,0.041279,1
340129,2021,0,0.352125,0,0.022136,0,0.003634,0,0.001231,0
340130,2021,0,0.595766,1,0.024893,0,0.012358,0,0.003993,0
340131,2021,0,0.744259,1,0.637743,1,0.805048,1,0.033726,0
340132,2021,0,0.635189,1,0.02558,0,0.007267,0,0.003577,0
340133,2021,0,0.227203,0,0.00149,0,0.005995,0,0.003539,0
340141,2021,0,0.920714,1,0.507004,1,0.103158,0,0.003101,0
340142,2021,0,0.737819,1,0.465118,0,0.075758,0,0.000385,0
340143,2021,1,0.858015,1,0.639332,1,0.886782,1,0.545391,1
340144,2021,0,0.083697,0,0.032045,0,0.005871,0,0.000171,0
