Facility ID,State,Hospital_Type,Birthing_Center,Emergency_Services,Hospital_Ownership,Hospital_Rating,MORT_Participation,Safety_Participation,READM_Participation,PtExp_Participation,TE_Participation,Engagement_Index,Domains_Reporting,MORT_Better,MORT_Worse,Safety_Better,Safety_Worse,READM_Better,READM_Worse,Net_Performance_Score,Net_Performance_Rate,Performance_Ratio
010110,AL,Acute Care,0,1,For-Profit,,0.0,0.0,0.0,0.0,0.3333333333333333,0.06666666666666667,1,,,,,,,0.0,,
010112,AL,Acute Care,0,1,Government,,0.2857142857142857,0.25,0.45454545454545453,1.0,0.75,0.548051948051948,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010113,AL,Acute Care,1,1,Non-Profit,2.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.9666666666666666,5,0.0,0.14285714285714285,0.125,0.125,0.0,0.09090909090909091,-2.0,-0.07692307692307693,0.038461538461538464
010114,AL,Acute Care,1,1,Government,2.0,0.7142857142857143,0.75,0.5454545454545454,1.0,0.8333333333333334,0.7686147186147186,5,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.058823529411764705
010118,AL,Acute Care,1,1,For-Profit,2.0,0.5714285714285714,0.375,0.45454545454545453,1.0,0.8333333333333334,0.6468614718614719,5,0.0,0.0,0.3333333333333333,0.0,0.0,0.2,0.0,0.0,0.08333333333333333
010120,AL,Acute Care,0,1,Government,,0.2857142857142857,0.125,0.36363636363636365,1.0,0.6666666666666666,0.4882034632034632,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010125,AL,Acute Care,0,1,For-Profit,4.0,0.42857142857142855,0.0,0.36363636363636365,1.0,0.5,0.4584415584415584,4,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
010126,AL,Acute Care,0,1,Government,,0.2857142857142857,0.25,0.36363636363636365,1.0,0.6666666666666666,0.5132034632034632,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010128,AL,Acute Care,0,1,For-Profit,,0.2857142857142857,0.0,0.2727272727272727,0.0,0.5833333333333334,0.22835497835497837,3,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
010129,AL,Acute Care,1,1,Non-Profit,,0.2857142857142857,0.25,0.5454545454545454,1.0,0.75,0.5662337662337662,5,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,-1.0,-0.1,0.0
010130,AL,Acute Care,0,1,Non-Profit,3.0,0.5714285714285714,0.25,0.45454545454545453,1.0,0.5833333333333334,0.571861471861472,5,0.0,0.25,0.0,0.0,0.0,0.0,-1.0,-0.09090909090909091,0.0
